medcodeid,term,condition
1.96859E+15,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census (finding),Q code group Ethnicity - Other ethnic group
285958018,Other ethnic non-mixed (NMO) (ethnic group),Q code group Ethnicity - Other ethnic group
285988010,Other ethnic non-mixed (NMO) (ethnic group),Q code group Ethnicity - Other ethnic group
2.93742E+15,Paez (ethnic group),Q code group Ethnicity - Other ethnic group
2.5639E+15,Palauans (ethnic group),Q code group Ethnicity - Other ethnic group
2.78232E+15,Papuans (ethnic group),Q code group Ethnicity - Other ethnic group
3.82783E+15,Pehuenches (ethnic group),Q code group Ethnicity - Other ethnic group
2.61557E+15,Polish Roma (ethnic group),Q code group Ethnicity - Other ethnic group
2.87539E+15,Polynesians (ethnic group),Q code group Ethnicity - Other ethnic group
2.55243E+15,Pueblo (ethnic group),Q code group Ethnicity - Other ethnic group
3.79192E+15,Quechua (ethnic group),Q code group Ethnicity - Other ethnic group
2.64581E+15,Roma (ethnic group),Q code group Ethnicity - Other ethnic group
7.7798E+15,Roma (ethnic group),Q code group Ethnicity - Other ethnic group
1.15821E+15,Romanian (ethnic group),Q code group Ethnicity - Other ethnic group
1.56553E+15,Romanian (ethnic group),Q code group Ethnicity - Other ethnic group
2.61561E+15,Romanian Roma (ethnic group),Q code group Ethnicity - Other ethnic group
2.80285E+15,Saipanese (ethnic group),Q code group Ethnicity - Other ethnic group
1.56559E+15,Samoan (ethnic group),Q code group Ethnicity - Other ethnic group
507015012,Samoan (ethnic group),Q code group Ethnicity - Other ethnic group
3.28266E+15,Seminole (ethnic group),Q code group Ethnicity - Other ethnic group
3.31623E+15,Senoi (ethnic group),Q code group Ethnicity - Other ethnic group
2.85024E+15,Shoshone (ethnic group),Q code group Ethnicity - Other ethnic group
2.61536E+15,Slovak Roma (ethnic group),Q code group Ethnicity - Other ethnic group
3.28124E+15,Solomon Islanders (ethnic group),Q code group Ethnicity - Other ethnic group
4.15333E+15,South Asian AND/OR Australian aborigine (ethnic group),Q code group Ethnicity - Other ethnic group
2.91961E+15,South Asian Aborigine (ethnic group),Q code group Ethnicity - Other ethnic group
1.38271E+14,South and Central American - ethnic category 2001 census (finding),Q code group Ethnicity - Other ethnic group
3.73101E+15,Toba (ethnic group),Q code group Ethnicity - Other ethnic group
286015010,Tokelauan (ethnic group),Q code group Ethnicity - Other ethnic group
4.74054E+15,Tokelauan (ethnic group),Q code group Ethnicity - Other ethnic group
1.56584E+15,Tongan (ethnic group),Q code group Ethnicity - Other ethnic group
504723011,Tongan (ethnic group),Q code group Ethnicity - Other ethnic group
2.54172E+15,Tristan da Cunhans (ethnic group),Q code group Ethnicity - Other ethnic group
3.03402E+15,Trukese (ethnic group),Q code group Ethnicity - Other ethnic group
3.06386E+15,Utes (ethnic group),Q code group Ethnicity - Other ethnic group
3.5178E+15,Venezuelan Indians (ethnic group),Q code group Ethnicity - Other ethnic group
2.79619E+15,Xavante (ethnic group),Q code group Ethnicity - Other ethnic group
3.74379E+15,Yanomama (ethnic group),Q code group Ethnicity - Other ethnic group
3.27862E+15,Yapese (ethnic group),Q code group Ethnicity - Other ethnic group
1.56596E+15,Yemeni (ethnic group),Q code group Ethnicity - Other ethnic group
5.23591E+14,Yemeni (ethnic group),Q code group Ethnicity - Other ethnic group
